train_dice_loss,train_ssim_loss,train_bce_loss,train_total_loss,val_dice_loss,val_ssim_loss,val_bce_loss,val_total_loss
0.9834,0.9988,0.9834,0.902,0.9721,0.9922,0.9721,0.8728
0.9835,0.9981,0.9835,0.8957,0.9714,0.9921,0.9714,0.8961
0.984,0.9978,0.984,0.866,0.9709,0.9913,0.9709,0.9306
0.9829,0.9971,0.9829,0.8562,0.972,0.9913,0.972,2.3072
0.9818,0.9968,0.9818,0.8275,0.9693,0.9905,0.9693,19.2097
0.9838,0.9972,0.9838,0.8216,0.9729,0.9917,0.9729,21.832
0.9829,0.9967,0.9829,0.8035,0.9732,0.9915,0.9732,26.8596
0.9838,0.9973,0.9838,0.7975,0.969,0.9901,0.969,31.9337
